state	year	virus	epiweek_end	result_count
SAO PAULO	2023	flua	2023-07-29	15
SAO PAULO	2023	flua	2023-08-05	22
SAO PAULO	2023	flua	2023-08-12	16
SAO PAULO	2023	flua	2023-08-19	13
SAO PAULO	2023	flua	2023-08-26	15
SAO PAULO	2023	flua	2023-09-02	13
SAO PAULO	2023	flua	2023-09-09	5
SAO PAULO	2023	flua	2023-09-16	10
SAO PAULO	2023	flua	2023-09-23	11
SAO PAULO	2023	flua	2023-09-30	3
SAO PAULO	2023	flua	2023-10-07	11
SAO PAULO	2023	flua	2023-10-14	9
SAO PAULO	2023	flua	2023-10-21	16
SAO PAULO	2023	flua	2023-10-28	4
SAO PAULO	2023	flua	2023-11-04	13
SAO PAULO	2023	flua	2023-11-11	8
SAO PAULO	2023	flua	2023-11-18	7
SAO PAULO	2023	flua	2023-11-25	8
SAO PAULO	2023	flua	2023-12-02	10
SAO PAULO	2023	flua	2023-12-09	8
SAO PAULO	2023	flua	2023-12-16	10
SAO PAULO	2023	flua	2023-12-23	6
SAO PAULO	2023	flua	2023-12-30	9
SAO PAULO	2023	flua	2024-01-06	1
SAO PAULO	2023	flub	2023-01-07	8
SAO PAULO	2023	flub	2023-01-14	3
SAO PAULO	2023	flub	2023-01-21	10
SAO PAULO	2023	flub	2023-01-28	6
SAO PAULO	2023	flub	2023-02-04	22
SAO PAULO	2023	flub	2023-02-11	27
SAO PAULO	2023	flub	2023-02-18	17
SAO PAULO	2023	flub	2023-02-25	53
SAO PAULO	2023	flub	2023-03-04	58
SAO PAULO	2023	flub	2023-03-11	51
SAO PAULO	2023	flub	2023-03-18	53
SAO PAULO	2023	flub	2023-03-25	54
SAO PAULO	2023	flub	2023-04-01	43
SAO PAULO	2023	flub	2023-04-08	74
SAO PAULO	2023	flub	2023-04-15	111
SAO PAULO	2023	flub	2023-04-22	94
SAO PAULO	2023	flub	2023-04-29	89
SAO PAULO	2023	flub	2023-05-06	49
SAO PAULO	2023	flub	2023-05-13	33
SAO PAULO	2023	flub	2023-05-20	43
SAO PAULO	2023	flub	2023-05-27	47
SAO PAULO	2023	flub	2023-06-03	33
SAO PAULO	2023	flub	2023-06-10	25
SAO PAULO	2023	flub	2023-06-17	19
SAO PAULO	2023	flub	2023-06-24	16
SAO PAULO	2023	flub	2023-07-01	7
SAO PAULO	2023	flub	2023-07-08	11
SAO PAULO	2023	flub	2023-07-15	18
SAO PAULO	2023	flub	2023-07-22	9
SAO PAULO	2023	flub	2023-07-29	5
SAO PAULO	2023	flub	2023-08-05	7
SAO PAULO	2023	flub	2023-08-12	7
SAO PAULO	2023	flub	2023-08-19	5
SAO PAULO	2023	flub	2023-08-26	6
SAO PAULO	2023	flub	2023-09-02	4
